#,0,1,2,3,4,5,6,7,8,9
0,-703.1674098543332,-752.7934454321401,-665.7823764121003,-633.4577676158053,-593.7554968352871,-617.0926174016956,-726.773070867445,-469.1343140074397,-630.6525354381387,-543.3789277313538
1,-831.1180863548551,-898.0849157513022,-689.7330034805573,-749.8279281755157,-905.2773133021283,-768.0348153527,-744.2086305652198,-991.4836980654494,-800.391188965763,-939.1043427685654
2,-553.9976710483371,-273.0499320440943,-423.33481393773866,-431.9172409229692,-444.26688529840266,-414.5818817100698,-444.1178596579639,-437.2240005458437,-430.64136621135776,-442.6190804479828
3,-578.1022066747612,-1066.611503551697,-723.2788426977311,-719.4451460243314,-757.4540988540183,-690.3940891327558,-678.7397777285048,-768.1751515720655,-728.7244246523213,-764.0618267340088
4,-681.0955651629106,-865.2463690275889,-631.271673745852,-688.4601114667882,-534.2654561173933,-635.2993015273689,-647.6177714855697,-622.7951815686052,-646.8101690374564,-584.3473280825632
5,-570.4653959200643,-263.4789593330766,-427.20167316249956,-425.5008297422083,-441.3906857591842,-415.60678545016196,-472.3066472110744,-425.27889520822976,-408.4457255890124,-427.6273962712067
6,-779.1462204585021,-857.1243913160035,-729.9713852179555,-675.8386758517855,-601.4503365810214,-641.0480001388316,-757.3724357241043,-651.6183560031202,-656.454943930303,-642.8593039700819
7,-780.92483483372,-786.621140127357,-667.6587220503225,-658.6262184452656,-603.2770087361449,-623.3677476922987,-650.983056599808,-671.5064634728359,-649.9144250118385,-582.1877190606259
8,-768.196774950702,-956.7116387879792,-749.0314287740707,-851.1693855852961,-711.5864388150279,-729.0258472410324,-746.8310472961741,-857.4865329594154,-769.4001781963176,-787.1430028453218
9,-816.9424150266825,-986.2344360741799,-818.8617570592096,-818.2056432982321,-691.7145497404482,-741.7329288402768,-812.2789268320618,-657.0830700879096,-729.6401522620121,-646.8993911931345
10,-676.9836951882172,-1152.2954265848896,-812.2151557368061,-807.6865872441703,-884.3690734675462,-782.4593547586202,-881.3578168762064,-988.3340448090617,-834.9219695682797,-972.5366349371467
11,-826.6485207977261,-1057.1607093043158,-808.9867817050967,-852.8873660242167,-839.219627752388,-841.6262201163977,-790.3891960074474,-943.2793460684254,-844.6682978069756,-907.8713232842223
12,-726.1896577841777,-774.1536207371952,-677.254678729902,-663.9422426976818,-542.43305659788,-611.1717629574543,-670.2764045874526,-547.599376283441,-603.4669152058008,-505.38221468072857
